t	v	dv
6.131382452665800134e-03 -1.510867208762025271e+01 7.740601612667431297e+00
8.565986062517388921e-02 1.076533707075423507e+01 6.404710602250222706e+00
3.310278203317150725e-01 -1.686407267224137030e+00 4.576715932758633087e+00
1.009734626966798610e+00 -4.347859332969171930e+00 8.929865158568011552e+00
1.089291149404639780e+00 8.180814651471482790e+00 5.442937508826960702e+00
1.174669541452860955e+00 -4.868882514505357584e+00 7.077399793399958838e+00
1.250951126076139008e+00 9.598611144380942761e+00 4.207910015111073321e+00
1.339214064034753848e+00 7.042387015399905081e+00 4.366830472998432633e+00
2.082705900360510842e+00 -1.146731112342731329e+01 4.419353292025238744e+00
2.165926049515880969e+00 2.862396303652864127e+00 8.355340753376999885e+00
2.241905462808055471e+00 1.346799863904353245e+00 5.719826021406023031e+00
2.341210448948220169e+00 -2.326686492773553994e+01 8.668405456488150307e+00
2.414817812721582246e+00 -6.817503726665803399e-01 5.451378685928737866e+00
3.341311016710234671e+00 -3.896190706851050400e+00 9.077982872331713082e+00
3.408130767338535705e+00 -2.384511525639132046e+00 6.194452835010641145e+00
4.000636934681475410e+00 -7.027231064994190035e+00 7.698991619543096299e+00
4.156616146070827966e+00 -9.623040223178655594e+00 8.745709592005532329e+00
4.249195329200599502e+00 -2.423204480844038500e+00 3.361390224000176730e+00
4.324304129407352981e+00 -9.934870964793267589e-01 7.627180871828898034e+00
4.411676550574802569e+00 8.628527110293278568e+00 3.314575187226851405e+00
5.176187248862568424e+00 -3.306040246334442934e+00 6.965042397210954306e+00
5.259943634623598818e+00 5.067998274834163652e+00 6.970281319058383218e+00
5.416394435066077762e+00 -1.774935416185370229e+01 9.372278769209604121e+00
6.075190098234439340e+00 2.639168280645401410e+01 5.319656056908264041e+00
6.258774494519715681e+00 -6.377799297021308433e+00 7.091066167049721258e+00
6.340348155923501317e+00 7.508676659918310570e+00 2.604271641306963314e+00
6.413075658157992187e+00 4.776336933928038597e+00 6.023144221364164608e+00
7.074577970933365378e+00 1.023629097191565407e+01 9.950259881798874773e+00
7.255148951867123053e+00 8.854363540766387430e+00 2.577324322734545703e+00
7.331665728430115436e+00 1.902225209401157002e+01 5.170221743176554696e+00
7.419559085754135808e+00 -3.965411986274586909e+00 8.708359567424384551e+00
8.000456252854956318e+00 9.072349394518223420e+00 5.637389533764435967e+00
8.078544809951509365e+00 1.291782849881079898e+01 5.054257932019297073e+00
8.245586957580645304e+00 1.597713146697874187e+01 8.967433242624005985e+00
8.408887326089613978e+00 2.539314569876094652e+01 9.372548438753963040e+00
8.491844201851067808e+00 2.050939451932898905e+01 8.038820498763429967e+00
9.089457897498292027e+00 1.490715649280197574e+01 2.510700084222976525e+00
9.161044292389767918e+00 1.583381852483024410e+01 2.882312353075015210e+00
9.259168029185259385e+00 -1.924196958747963748e+01 9.895542183284005588e+00
9.421502681020502479e+00 1.374999590129238136e+01 3.437267543455560848e+00
9.493602765591132808e+00 7.418523248988448948e+00 4.025697629728453464e+00
1.000109134372690001e+01 1.243771948538661576e+00 9.347727986777872644e+00
1.007924662787521619e+01 -8.778472609288771267e+00 8.462743056543995834e+00
1.015830621923904964e+01 -5.195694114816798326e+00 4.642789282912073823e+00
1.040682467048863913e+01 2.232061008974031591e+00 3.715861298694107528e+00
1.100535466064411949e+01 -1.704227470968479352e+01 5.792924343823004918e+00
1.124434163719810265e+01 3.852108739342835264e+01 8.779559309868504968e+00
1.133737732194163605e+01 9.659889093655813497e+00 3.585141298856158176e+00
1.141927678082767272e+01 -3.073631546240687840e+01 9.494546360038393473e+00
1.200634509498400071e+01 -2.479148213942863066e+01 9.060524121165983047e+00
1.207904651625090686e+01 -1.276248090028711424e+01 6.388945892964335904e+00
1.215631876424482982e+01 3.262546015543787092e+00 4.051900219444071638e+00
1.232509726870039302e+01 -2.714654500396414871e+00 6.724599668096367111e+00
1.249862960452128036e+01 2.029212711743975817e+01 8.647348401370896553e+00
1.307561745802657249e+01 -1.539406960265110591e-01 9.203629620070790551e+00
1.316264538923016225e+01 -1.065678876197392100e+01 3.540569560733253240e+00
1.324082341964020060e+01 -9.671099135768175259e-01 4.643272069628253895e+00
1.333959289051357366e+01 -1.976824259281828233e+01 8.901200759948475039e+00
1.341879932058140135e+01 2.391359448370296192e+01 7.718665865686896055e+00
1.400620222205801291e+01 -8.480349128743887022e-01 3.518992025251684197e+00
1.407452883389740173e+01 5.269457030014885746e+00 4.988374651915285618e+00
1.415806179976231327e+01 9.878914764731399067e-01 5.582238713013191855e+00
1.424058024994762306e+01 5.000052115947206666e+00 5.044632577765576720e+00
1.433866320284652751e+01 9.649980767625159217e+00 4.073975893291328809e+00
1.440669256558678590e+01 4.249005943522917050e+00 4.959849012424398573e+00
1.449009221837915895e+01 -3.315480847501055095e+00 4.255582598806268990e+00
1.500643585494931287e+01 1.168503295440477885e+01 3.018421471742757767e+00
1.515933669541450968e+01 -1.092328311232286531e+01 4.762518243011720998e+00
1.525824872506417051e+01 7.213782994686575023e-01 2.815048286294795865e+00
1.534135571678533871e+01 9.543092506579373691e+00 7.851799546117276485e+00
1.541705894684630707e+01 2.348278997480648389e+00 3.212461071022002734e+00
1.549748997717213328e+01 2.005871367294937535e+00 7.211888228757827868e+00
1.600603842177435254e+01 5.790603587389485440e+00 7.611715808942297379e+00
1.607905669768415535e+01 8.052187930903901503e+00 4.307860780331397521e+00
1.616689462318551662e+01 -1.815480459027413573e+01 9.568421141443648636e+00
1.625069160155559089e+01 6.193619188038050893e+00 3.169988126063105760e+00
1.632971658349901034e+01 -6.551539938737983348e+00 9.329142739103680526e+00
1.642220406784435838e+01 -2.442207532436353290e+01 7.241621531592574712e+00
1.708570231901787295e+01 1.601744588818449699e+01 3.919464417940832224e+00
1.742161029318629417e+01 2.116682574291604446e+00 8.353131430276848235e+00
1.800548176199557915e+01 7.417243649932820482e+00 9.969749638653544466e+00
1.807670396900443777e+01 5.318251300608116239e+00 3.036541632950410019e+00
1.824601498879501094e+01 1.623564254858166578e+01 7.492465710399024204e+00
1.832959492920866040e+01 -4.234685931202154308e+00 9.862216204460960256e+00
1.841693722580355441e+01 -3.513547628384638521e+00 6.044414472522744219e+00
1.924333640747301288e+01 -5.683024125494393175e+00 6.111438775430805492e+00
1.932301320052664551e+01 2.209615566961766309e+00 9.340522516209416537e+00
2.008924492818231400e+01 7.834911620687899259e+00 3.445565075959131640e+00
2.016552088705353185e+01 -1.980054492469891869e+01 5.605607105735432860e+00
2.100716482584741129e+01 -1.963250007940395392e+00 4.674390025022313822e+00
2.107440148778762179e+01 -1.053078270920802950e+01 7.797026193974966546e+00
2.115811169774051237e+01 -1.762942307214753868e+00 6.216401051789053334e+00
2.125011232030669817e+01 -7.513198204545298076e+00 8.067168078859472402e+00
2.200187173101491211e+01 -2.288320308559912419e+00 5.594534786210145327e+00
2.225497139978316596e+01 2.108166593200899719e+00 7.571106627856940108e+00
2.241995748058472415e+01 -5.053882847669189715e+00 7.168977314963256298e+00
2.249030625602620148e+01 -5.358654516363870357e+00 5.199288159249136676e+00
2.300581102194953687e+01 1.619772687759515861e+01 3.297421036955184626e+00
2.308711177989023255e+01 3.606078736926754402e-01 5.754708333615337068e+00
2.324805470621356918e+01 1.336556581921893461e+01 5.152256943395336464e+00
2.332811313450648427e+01 4.363200349416863411e+00 8.351303035435044819e+00
2.409280402609256555e+01 2.280774682132225450e+01 5.789491206685659641e+00
2.416233352453578220e+01 9.761526062288146122e+00 5.435963231722964473e+00
2.432645558507752881e+01 1.477886900778520385e+01 4.657396506930401969e+00
2.441053946817167031e+01 9.121430203823608807e+00 5.486920589608230259e+00
